stars,text
3,OVerall a great place to have German dinner. The restaurant is very small and intimate and you must make a reservation. Everything we tried was great. Check it out!
3,"Really like this place - nice coffee, alternative folks, loungy music.Need a location to celebrate? You can even rent the Bacana for private parties, the owner is definitely a laid back dude. Just be sure you organize a few things yourself, if you need a DJ or anything ;)The Bacana is nice for breakfast and coffee during day, but also a cosy location to hang out later. Contra (to me): sometimes the guys smoke, which you can smell the next day while wanting to have breakfast"
3,"We stumbled upon this place on a Sunday during a recent trip to Hamburg.   It appears to be family owned and a very friendly restaurant as well.   We had several interesting dishes fresh fish, potatoes soup and my daughter's favorite a sort of perogi casserole.   We have had to recreate this and it has become a family favorite.   Nice view on the canal too."
3,"Very good! Can't believe it took me 5 years to try the place. Now I know why it was always so busy.My only negative is that the portions aren't consistent, I've noticed some customers getting preferential treatment with much more toppings, and this made me sad. Why do you hate me, Kumpir König!?"
3,"Concept of this place is great and design too.It made like real apartment, if a real apartment was with table football,bar and filled with sofas:D +they have literature and live music evenings every first and third wednesday.-Not so special drink menu.Also once my glass of wine was filled from 3 bottle leftoversphe:( Thats why only 4 stars.Otherwise this place is great."
4,Wow. Simply delicious food & really excellent service. I was a single diner here during a business trip in Hamburg and will make a special effort to return every time I'm in Hamburg!
4,"Since I'm an Asian, I dare to say this Japances Restaurant is very very traditional and their cooking is fantastic. Even they have Teppanyaki, there is not much in Hamburg. I'm sure I will try it next time."
4,"Great place to have dinner eating typical food of hamburg: fish!Nice interior, great and nice service, beer and wine, quick service.For us this evening was the last of a few days in hamburg; a real great finish!"
2,"If u r searching for a good cocktail bar, it's what u r looking for. Awesome atmosphere and nice drinks! But the food isn't so tasty. Good thing is they offer gluten free meals! I'll say better to go there as a bar rather than restaurant."
3,"Yummy food, good service and a cozy atmosphere-- Das Dorf serves up a very nice German dining experience. Before our trip to Hamburg, we made a reservation at Das Dorf for a Saturday evening. We arrived for our reservation and was seated right away. The place doesn't look very big at first, but they definitely take advantage of every single corner available. The atmosphere is cosy albeit you're cramped into a cellar.I had the stewed ox cheeks and my husband had the schnitzel. The ox cheeks were very flavorful and the schnitzel was good. The portions were generous and the service was nice and fast. I would recommend Das Dorf for a nice dinner in Hamburg."
0,"Been there once due to the many recommendations and was really dissappointed. Bad service: slow, uncoordinated, sloppyFood was average at its best I have to admit that we were a crowd of 12 people which is always a little tricky for the chef - but we ordered a table in advance - therefore it should not have been a surprise. Overall: Not worth the trip to Wandsbek at all."
4,"I always come to this place when i get visitors in town.First of all, its the first pub/bar on the way to the schulterblatt. second of all I love the aquarium. don't ask me why? i just do. FYI, if you've never been there, there's an ""aquarium"" in the middle of the pub. Don't mistake it for a table. A couple of my visiting (girl)friends thought it was a table and 'pouf' put their bags into the water. Luckily no irreparable damages. Anyway beside this warning (and anecdote) do go there!Its nice, its fun, its packed, and its not too expensive!Happy hour till 22.00!"
2,"The Parlament is hidden in the Rathaus basement?; the reason why I probably have never seen it before.Inside the interior is really majestic and richly ornated. The crowd is a bit older, up against 40.The atmosphere is quite formal, but fits fine with the venue. The food seems to be expensive, but I havent tried it yet. Nice to take your parents, or just enjoy a typically businesslike/historical spot in Hamburg. Tourist or not."
4,"Startlingly good French food, right in the center of Hamburg.  Stopped in here a few weeks back with some coworkers, and quickly settled on the Menu (prix fix).  The appetizer was an easy choice --- the house-made pâtés (""Duo von hausgemachter Pastete"") included both a rough-ground one and a chunkier country-style version.I was thrilled with my chicken special --- rich, savory, and completely unlike your average American chicken dish.  Excellent potatoes rounded out the skillet of deliciousness.  One of my companions was underwhelmed by the rockfish (""Steinbeißer"") catch of the day.Dessert was again an easy choice; the ""Crêpe ""normande"" mit Calvados"" (apple crêpe with apple brandy) was delicious, if twice the size I needed.Wine choice was as extensive as you'd expect from a good French place, with a reasonable by-the-glass selection.Definitely a must-try for a nice meal out in Hamburg.  The waiter was comfortable in German and French, but less so in English."
4,"Bock Treffpunkt Imbiss has been described to be as ""the place where vegetarians eat meat, where non-smokers smoke and where atheists come to pray.""It's that good. I ordered the köttbullar and the dish managed to exceed my already high expectations. I thought the sauteed mushrooms in the sauce was a nice touch as well. It really brought together all of the flavours. Post meal, we were offered a choice of dessert. I went with the chocolate pudding and custard. This was hands down the best köttbullar that I've had in Hamburg, yet.It's quite the interesting little setup as well -- underneath a tent. Very cozy and not the least bit cold in Winter as it is heated."
2,"So yes, the coffee here is quite good (although I would say that it still is a bit short of 'excellent'), and yes, their cakes and bagels are very good. However, I would still not easily recommend going here, mainly because of service issues. First of all we had to wait quite a while before finally being served, while our waitress was chatting away with a friend and other wait staff studiously avoided us - and we only got served after we walked over to her and asked her to take our order, after which either she or the kitchen managed to get us the wrong bagel. Furthermore, it's crowded and noisy and you will be hard pressed to find a comfortable place. All in all, the quality of the food and coffee is severely let down by the service and ambiance."
3,"If you're looking for something a little more upscale that won't break the bank, this is definitely a great spot to go. Was here for a company outing dinner and really enjoyed it. The menu is quite diverse and they have an excellent selection of Flammkuechen, fish dishes and burgers. There's definitely something on the menu for everyone. I had the ""Fisch Platte"" that was a whitefish, salmon and shrimp scampi (unfortuately cold) -- came with Bratkartoffeln and a small salad. Huge portion but all of it very tasty. A colleague got a burger and he also enjoyed this. It's an old warehouse type space renovated with a large dining hall and smaller rooms off to the sides, seems like a great place for a group to celebrate a birthday or other special occasion. To top it off, there is a real ""Trude"" in the back lawn! Massive!"
1,"This is a really great bar if you enjoy being deafened by an Elvis impersonator so much that you can't even order your beer because no one can hear you. Oh and you're blinded by strobe lights. And surrounded by a mix of drunk college kids and older people who are still college at heart. Otherwise, I think you'll find the ambiance stressful, the beer so so, and the time worth spending somewhere else."
4,SO FUN. Learned a lot! Would definitely do it again.
4,"Ham-Burgers in Hamburg Germany yes please! Especially if it here. This place has burger flavors to try more than once. Lunch time was a bit busy but rightfully so for good food.i chose the baked potato instead of fries and I'm glad I did. If anything I would just go for that and a burger on the side.  While I'm not a salad eater they do make them fresh right in front of you and the portion is large. And as delicious as they looked I would even eat one. Who doesn't want burgers and beer. Well you can get both here, enjoy a table outside and people watch as they pass in a hurry to get to their next destination.  My husband upgraded his champion burger and it was far better than my own. They also offer no bun options and a blue cheese burger that I heard was really good too.  What seems to be a chain restaurant or fast food was not like anything I'm use to in the US.  I would definitely go back. The cashiers were friendly and informative and offered a smile with every meal purchase. But don't expect fast food service if they are busy everything is made to order. But for me that is worth the wait."
4,"Excellent rib eye steak!!! One of the best steaks I have ever eaten anywhere in the world. Being from Texas, and having grown up on a ranch, eating steaks my whole life, you will not be disappointed here. The service is a little slow, order more beer to take up the extra time!! The cheesecake is excellent, not as good as Don't Tell Mama's, here in Hamburg, but well worth eating. Busy restaurant, never had trouble getting a table. A little better than Estancia Steak House because of price , and the cheesecake."
4,This is probably the best place for tasty food and amazing cakes in the world! You really need to try the hot cocoa!
2,"This place was weird. But then againanything is weird after drinking 1.5 bottles of wine before going out with your friends. Was there on a Saturday night and it was completely crowded and kind of sweaty. Someone grabbed my butt a couple of times, one other guy tried to put my coat on his girlfriend he was so wasted and in the backgroundGod awful euro-trance-house-crap that was pretty relentless. This was the upstairs. Moving onto the downstairsta da! We are now in the mid-30's zone complete with German style rap/grind/singalong antics. I don't know about you, but watching Berta and Hans get it on in their tight Euro jeans does something sad to your soul. Oh yes, another Pilsner bitte."
4,Pretty cool  spot for having cocktails  and wine  with a lot of people. Seems to be a place to be for a night out !
4,"Skyline 20up Bar is located at the 20th level of the Empire Riverside Hotel. A lot of tables were already booked when we arrived and the inside is quite small, so I advise you to come early or book your own. The bar offers you a great view on Sankt Pauli, Altona and Harburg. Their cocktails are amazing and not like the usual ones, there is a good research on the texture, colour and presentation."
3,"This place is very popular. Been here twice in the evenings and had to wait between 5-10 minutes for a table. And with good reason, the food is really good. The service is super quick, given all the people inside and those queueing combined with 2 waitresses.The menu is quite small though, ask for the English menu if you require it. Your choices are mainly between pho and rice vermicelli noodles with some meat. Very delicious food though. Top it off with beer Saigon or beer Ha. It should cost under 10 euros for your meal and a beer."
4,"Fancy hipster coffee shops exist outside of San Francisco, go figure. Admittedly SF probably just copied places like this one.Elbold Röstkaffee has all the marks of a hipster coffee place: 1) Crowded with people sitting around, drinking coffee, and not on laptops2) More real estate dedicated to bean roasting equipment than restaurant space3) Visible bean roasting equipment4) Handwritten labelingDelightful chocolate candy treat served with the coffee, yum!, and a great place to spend the afternoon catching up with friends."
3,Nice place to eat a burger in the center of Hamburg. It was quite busy but my order didn't take very long to prepare. Decent prices. Will visit again!
4,"Super great food, great atmosphere, friendly people, city center location. And really cheap prices for excellent food. My favorite place in Hamburg."
4,"This venue is really cool. I've been there three times and I always listened to some good music. The place is unbelievably small, the smallest venue I've ever been to, and the first time I was there I wondered how they could do gigs in there. But the atmosphere there is great and people is there to listen to music. If you want to discover and listen to some underground, mostly German, artists that you've probably never heard of that is definitely the best spot in Hamburg I know so far."
4,Delicious duck. Big quantity in the dishes. I will come back when I will be back in Hamburg
2,"I was curious because I saw these places all over Hamburg and I love Asian fusion! I have to wait 30 minutes to get my food. Also, I probably have a different working definition of what Asian fusion is...I ordered a vegetarian curry.... It said it came with tofu, but I couldnt really find any on the plate. Plus for an ""imbiss"" this place took forever. But I have to admit, the vegetables were fresh and I liked how they had sauces out on the table. I ordered spicy and although it wasn't spicy enough, I could pile on as much Siracha and chilis as I wanted. (People started to stare.) Everything here is gluten free so I guess that is great if you have food allergies. But really, the majority of asian food just tends to be gluten free in general. No surprise there. This place seemed pretty popular. It was hard to find a seat and I don't really know why. They have locations all over the city and are open late, so it is pretty convenient. Foodwise, it is just like any other semi-palatable Asian place."
4,"This place is AMAZING! I lived in Hamburg for 3 months, and loved this place. The Durum Doner they make is made fresh all day. Juicy meat and amazing Tortilla like bread..... You will not regret going here, trust me!!"
4,"Wonderful meal. Incredible service. Charming ambiance even the clientele looked hand picked for this place. Family nights out, fancy dinner dates, groups of friends catching up over a long French dinner. All represented tonight. I had the snails to start. (They are not in shells. They come in a hot pot pre stewed) it's was wonderful if a tad salty. Scampi provencal for the main was perfect. I wiped the sauce with extra bread. And the standout of the evening for me, the desert (who would have thought it, not I) the apple pancake soaked in a very lightly sweet liquor and Caramelized sugar on top. Not sure what wine I was served but it was great too."
4,Very great cafe. Its such a nice crew there. It's the place to go. Food an drinks are cheap and great at the same time.
4,"This restaurant was a great and random find. The food was tasty and the service friendly; OK, so my borther and I were the only customers in there, but as we were looking for something good open a little late, this was amazing !!! Highly recommended !!!"
4,"This is place is really good, delicious food, good ambiance, good prices. You have to try the crepe flambé, I want to go back soon."
3,"They were super busy when we arrived but managed to give us a table. We ordered quickly and the food came out surprisingly fast as well! I had the salmon, it's was so tasty! Definitely going back next time I'm in Hamburg."
3,"This is a great place. When I see Döner queen, I feel like to hang out there with friends. Foods are cheap and good quality."
3,"Burgerlich is a Burger Restaurant close to Rathaus. When you enter the Restaurant you get a card, which you need to order your food. Within the tables there are tablet which you have to use to order your food. Be aware that you order everything seperately. The food is the served at the table. Before you leave the restaurant you pay at the exit."
4,"As a non-smoker I only ever visit Duske & Duske to get my fix of English-language magazines, but their selection is surprisingly large (for automotive titles, that is) and the service is impeccable, in an understated, Hanseatic fashion. I think it's also much more charming than getting the mags at the train station anyway. Once I bought some cigars as a present for a friend, who told me they were top notch quality - they better be, for Duske & Duske's range isn't exactly cheap, but the helpful and competent assistance was a great bonus, particularly as I had no clue what I should buy."
